policy_id,customer_id,premium_amount,due_date,status,promise_date
1,159,3275.88,2025-11-15,active,
2,280,1650.51,2025-09-28,overdue,
3,76,4065.85,2025-07-07,overdue,
4,198,1616.3,2025-08-03,active,
5,65,3746.97,2025-07-24,active,
6,226,3216.33,2025-07-06,active,
7,284,4354.46,2025-08-16,overdue,
8,28,2191.96,2025-07-06,active,
9,151,4124.17,2025-10-21,active,
10,90,3669.94,2025-12-05,active,
11,199,1562.64,2025-07-22,overdue,
12,71,3507.68,2025-09-21,active,
13,88,3539.31,2025-07-23,active,
14,181,3977.8,2025-11-08,overdue,
15,59,3013.49,2025-09-13,overdue,
16,238,2750.62,2025-10-27,overdue,
17,56,2252.3,2025-08-01,overdue,
18,145,1525.42,2025-11-11,overdue,
19,153,3104.82,2025-12-10,overdue,
20,152,2336.76,2025-09-08,overdue,
21,53,3315.62,2025-09-11,overdue,
22,9,3137.81,2025-11-30,active,
23,213,3248.7,2025-08-27,overdue,
24,185,3013.47,2025-08-27,overdue,
25,256,1678.67,2025-07-21,overdue,
26,50,3669.56,2025-12-02,active,
27,194,2104.61,2025-09-25,overdue,
28,206,1696.67,2025-08-02,overdue,
29,10,4096.31,2025-10-14,overdue,
30,42,3663.1,2025-10-28,overdue,
31,78,3871.61,2025-11-08,overdue,
32,184,3543.3,2025-08-13,promise_pending,
33,198,2316.73,2025-11-16,active,
34,74,1922.34,2025-12-20,active,
35,145,2883.47,2025-11-22,active,
36,108,3006.73,2025-07-10,promise_pending,
37,93,3842.47,2025-07-07,overdue,
38,248,1870.76,2025-11-03,overdue,
39,134,1912.32,2025-07-07,overdue,
40,91,1896.64,2025-10-04,overdue,
41,28,4283.27,2025-08-25,overdue,
42,163,4013.16,2025-12-04,overdue,
43,211,2525.52,2025-11-17,overdue,
44,76,3051.42,2025-12-02,overdue,
45,49,2044.75,2025-11-26,active,
46,142,2513.48,2025-08-12,overdue,
47,277,1572.97,2025-09-18,active,
48,23,3495.98,2025-10-11,overdue,
49,160,3395.74,2025-10-26,overdue,
50,5,3886.85,2025-09-10,active,
51,253,4179.39,2025-10-12,overdue,
52,131,1519.68,2025-07-09,overdue,
53,261,3245.47,2025-11-21,active,
54,5,4303.0,2025-12-29,overdue,
55,127,2686.33,2025-09-23,active,
56,155,3578.8,2025-09-29,promise_pending,
57,52,2043.41,2025-09-15,active,
58,223,1623.13,2025-07-15,overdue,
59,146,4460.92,2025-09-09,promise_pending,
60,205,1712.27,2025-08-31,overdue,
61,105,3155.75,2025-12-24,active,
62,254,2871.7,2025-10-16,overdue,
63,184,4242.75,2025-12-27,overdue,
64,73,3109.4,2025-11-24,active,
65,244,2887.18,2025-10-12,overdue,
66,108,4245.71,2025-09-05,overdue,
67,248,3031.81,2025-12-03,overdue,
68,159,1689.69,2025-10-24,active,
69,275,1886.74,2025-08-12,active,
70,21,1956.74,2025-09-15,overdue,
71,174,3368.22,2025-08-14,active,
72,101,4485.91,2025-12-15,overdue,
73,130,3077.16,2025-07-31,promise_pending,
74,71,1814.12,2025-09-22,overdue,
75,92,2361.37,2025-07-10,active,
76,258,3728.81,2025-09-03,overdue,
77,31,2252.2,2025-07-10,active,
78,113,3250.27,2025-08-03,active,
79,244,3346.25,2025-09-27,overdue,
80,90,3504.02,2025-08-09,overdue,
81,3,2675.88,2025-10-08,overdue,
82,131,3283.77,2025-09-30,overdue,
83,120,2099.78,2025-12-25,active,
84,255,1777.05,2025-09-28,overdue,
85,20,3307.75,2025-10-25,overdue,
86,22,3422.39,2025-08-19,overdue,
87,193,1737.74,2025-08-15,overdue,
88,122,2024.67,2025-08-13,active,
89,181,3527.71,2025-08-03,active,
90,234,2930.45,2025-11-11,active,
91,97,1526.67,2025-11-26,overdue,
92,183,2235.08,2025-11-02,overdue,
93,136,4322.22,2025-09-09,active,
94,62,2479.78,2025-08-24,overdue,
95,73,4407.84,2025-08-27,overdue,
96,34,4365.82,2025-09-01,overdue,
97,225,1712.42,2025-08-06,active,
98,233,3203.14,2025-08-29,overdue,
99,88,3730.43,2025-12-02,overdue,
100,9,2629.98,2025-12-08,overdue,
101,194,1740.76,2025-12-06,overdue,
102,83,3376.18,2025-11-05,overdue,
103,117,2590.75,2025-11-30,overdue,
104,78,2379.36,2025-12-20,overdue,
105,182,3701.13,2025-07-13,overdue,
106,227,2140.03,2025-08-10,active,
107,161,2893.78,2025-11-23,overdue,
108,180,3247.02,2025-10-11,active,
109,33,4108.22,2025-12-13,overdue,
110,251,4404.25,2025-10-02,overdue,
111,251,3987.64,2025-12-24,overdue,
112,233,4164.43,2025-07-18,overdue,
113,160,3045.88,2025-08-14,overdue,
114,295,3120.93,2025-08-03,overdue,
115,103,3418.15,2025-09-01,overdue,
116,213,1934.72,2025-10-03,overdue,
117,170,3593.08,2025-10-14,active,
118,186,2239.93,2025-09-06,overdue,
119,63,1959.85,2025-11-24,active,
120,296,2952.89,2025-08-05,overdue,
121,268,3892.7,2025-08-28,overdue,
122,237,1862.18,2025-10-15,overdue,
123,252,2526.45,2025-10-18,overdue,
124,178,3581.93,2025-08-03,active,
125,224,3871.26,2025-08-19,overdue,
126,12,4317.35,2025-10-13,active,
127,59,2082.74,2025-10-30,overdue,
128,94,3866.67,2025-11-29,overdue,
129,15,2593.4,2025-08-20,overdue,
130,87,3408.93,2025-11-27,overdue,
131,216,3933.38,2025-09-26,overdue,
132,66,2975.38,2025-07-28,active,
133,281,3887.75,2025-09-30,overdue,
134,190,4230.49,2025-07-23,active,
135,20,4202.5,2025-08-25,overdue,
136,30,3502.75,2025-12-27,overdue,
137,100,3315.21,2025-07-11,promise_pending,
138,147,2398.79,2025-07-26,overdue,
